COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_17 | TO: P3_GROUP_4 | MSG: Why code in C++ when your programming skills are A++? | TIMESTAMP: 14.10.19 -=- 19:42:01
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_17 | TO: P3_GROUP_4 | MSG: Why code in C++ when your programming skills are A++? | TIMESTAMP: 14.10.19 -=- 19:42:01
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_17 | MSG: Many pages make a thick book | TIMESTAMP: 14.10.19 -=- 19:43:19
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_17 | TO: P3_GROUP_4 | MSG: Why code in C++ when your programming skills are A++? | TIMESTAMP: 14.10.19 -=- 19:43:45
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_17 | MSG: Many pages make a thick book | TIMESTAMP: 14.10.19 -=- 19:44:31
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_73 | MSG: A horse A horse My Kingdom for a horse | TIMESTAMP: 14.10.19 -=- 19:52:39
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_73 | MSG: A horse A horse My Kingdom for a horse | TIMESTAMP: 14.10.19 -=- 19:53:40
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_73 | TO: P3_GROUP_4 | MSG: BLESSADUR AEGIR! | TIMESTAMP: 14.10.19 -=- 19:54:19
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_73 | TO: P3_GROUP_4 | MSG: BLESSADUR AEGIR! | TIMESTAMP: 14.10.19 -=- 19:54:19
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_73 | TO: P3_GROUP_4 | MSG: HRESS BARA? | TIMESTAMP: 14.10.19 -=- 19:55:14
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_73 | TO: P3_GROUP_4 | MSG: HRESS BARA? | TIMESTAMP: 14.10.19 -=- 19:55:14
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_73 | TO: P3_GROUP_4 | MSG: KVEDJA FRA STOFU M115 | TIMESTAMP: 14.10.19 -=- 19:55:40
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_73 | TO: P3_GROUP_4 | MSG: KVEDJA FRA STOFU M115 | TIMESTAMP: 14.10.19 -=- 19:55:40
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_100 | MSG: Never be led astray onto the path of virtue | TIMESTAMP: 14.10.19 -=- 19:55:54
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_109 | MSG: Chess tonight | TIMESTAMP: 14.10.19 -=- 19:59:48
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_109 | MSG: Chess tonight | TIMESTAMP: 14.10.19 -=- 19:59:58
