
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_4 | MSG: Blessadir | TIMESTAMP: 13.10.19 -=- 20:55:26
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_4 | MSG: Blessadir | TIMESTAMP: 13.10.19 -=- 20:55:26
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_2 | MSG: Blessadir | TIMESTAMP: 13.10.19 -=- 21:06:15
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_2 | MSG: Blessadir | TIMESTAMP: 13.10.19 -=- 21:06:15
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_4 | MSG: bfhjdsbfjksdabfjkbdsajkfsdfasadf | TIMESTAMP: 13.10.19 -=- 21:10:20
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_4 | MSG: bfhjdsbfjksdabfjkbdsajkfsdfasadf | TIMESTAMP: 13.10.19 -=- 21:10:34
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P_G_3 | MSG: This is a message | TIMESTAMP: 13.10.19 -=- 21:15:21
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P_G_3 | MSG: BLelladur | TIMESTAMP: 13.10.19 -=- 21:19:10
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P_G_3 | MSG: blblabla test | TIMESTAMP: 13.10.19 -=- 21:25:14
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P_G_4 | MSG: Blessadur gamli | TIMESTAMP: 13.10.19 -=- 21:28:00
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_4 | MSG: Jaeja | TIMESTAMP: 13.10.19 -=- 21:30:52
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_4 | MSG: Jaeja | TIMESTAMP: 13.10.19 -=- 21:30:54
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_4 | MSG: P3_GROUP_4 Jaeja | TIMESTAMP: 13.10.19 -=- 21:30:54
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_4 | MSG: P3_GROUP_4 Jaeja | TIMESTAMP: 13.10.19 -=- 21:31:14
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_4 | MSG: P3_GROUP_4 P3_GROUP_4 Jaeja | TIMESTAMP: 13.10.19 -=- 21:31:14
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_4 | MSG: P3_GROUP_4 P3_GROUP_4 Jaeja | TIMESTAMP: 13.10.19 -=- 21:32:09
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_4 | MSG: P3_GROUP_4 P3_GROUP_4 P3_GROUP_4 Jaeja | TIMESTAMP: 13.10.19 -=- 21:32:09
