COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_18 | MSG: Hello_test | TIMESTAMP: 13.10.19 -=- 23:17:41
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_74 | MSG: Less is the new more | TIMESTAMP: 13.10.19 -=- 23:24:28
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_109 | MSG: Test message | TIMESTAMP: 13.10.19 -=- 23:38:41
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P_G_3 | MSG: Blessadir | TIMESTAMP: 14.10.19 -=- 17:34:17
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P_G_3 | MSG: Blessadir | TIMESTAMP: 14.10.19 -=- 17:54:17
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_4 | MSG: Jaeja | TIMESTAMP: 14.10.19 -=- 17:57:11
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_4 | MSG: Jaeja | TIMESTAMP: 14.10.19 -=- 17:57:54
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_4 | MSG: Jaeja | TIMESTAMP: 14.10.19 -=- 17:57:54
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_4 | MSG: Jaeja | TIMESTAMP: 14.10.19 -=- 17:57:54
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_42 | MSG: Saelir piltar | TIMESTAMP: 14.10.19 -=- 18:48:16
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_42 | MSG: Saelir piltar | TIMESTAMP: 14.10.19 -=- 18:49:18
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_111 | MSG: How much does it cost to ride the Unibus 2 bits | TIMESTAMP: 14.10.19 -=- 19:06:55
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_111 | MSG: How much does it cost to ride the Unibus 2 bits | TIMESTAMP: 14.10.19 -=- 19:07:57
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_42 | MSG: You are at the end of the road again | TIMESTAMP: 14.10.19 -=- 19:09:02
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_42 | MSG: You are at the end of the road again | TIMESTAMP: 14.10.19 -=- 19:10:05
