COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_42 | TO: P3_GROUP_4 | MSG: What's the answer 2 life? | TIMESTAMP: 13.10.19 -=- 22:10:42
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_42 | MSG: The cake is a lie! Don't trust GlaDos. Stay Safe. | TIMESTAMP: 13.10.19 -=- 22:36:00
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_42 | MSG: The cake is a lie! Don't trust GlaDos. Stay Safe. | TIMESTAMP: 13.10.19 -=- 22:37:27
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_42 | TO: P3_GROUP_4 | MSG: HEy there fellas. I eat your cake. | TIMESTAMP: 13.10.19 -=- 22:47:02
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_25 | MSG: The cake is a lie! Don't trust GlaDos. | TIMESTAMP: 13.10.19 -=- 22:58:00
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_25 | MSG: The cake is a lie! Don't trust GlaDos. | TIMESTAMP: 13.10.19 -=- 22:59:29
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: Instructor_1 | MSG: Hi jacky. Why does our port register as -1? | TIMESTAMP: 14.10.19 -=- 14:34:20
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: ORACLE | MSG: Hi Oracle. The cake is a lie! Don't trust GlaDos. | TIMESTAMP: 14.10.19 -=- 14:35:43
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: ORACLE | MSG: Hi Oracle. The cake is a lie! Don't trust GlaDos. | TIMESTAMP: 14.10.19 -=- 14:36:33
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_17 | TO: P3_GROUP_4 | MSG: Why code in C++ when your programming skills are A++? | TIMESTAMP: 14.10.19 -=- 14:40:41
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_17 | MSG: Hi guys. Sincerely  Group 4. | TIMESTAMP: 14.10.19 -=- 14:41:20
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_17 | MSG: Hi guys. Sincerely  Group 4. | TIMESTAMP: 14.10.19 -=- 14:41:37
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_17 | MSG: Hi. Can you please reply? | TIMESTAMP: 14.10.19 -=- 14:43:28
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_61 | MSG: Hi guys. How is life? | TIMESTAMP: 14.10.19 -=- 14:49:02
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_93 | MSG: Ping!!!! | TIMESTAMP: 14.10.19 -=- 14:53:37
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: Instructor_3 | MSG: Hi. This group 4 and we are broadcasting from 178.62.12.185 Port 1337. | TIMESTAMP: 14.10.19 -=- 14:56:06
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_86 | TO: P3_GROUP_4 | MSG: eat - sleep - segfault - repeat | TIMESTAMP: 14.10.19 -=- 14:59:06
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_86 | TO: P3_GROUP_4 | MSG: eat - sleep - segfault - repeat | TIMESTAMP: 14.10.19 -=- 15:03:03
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_86 | MSG: Hi. Hope this does not crash yo shit... | TIMESTAMP: 14.10.19 -=- 15:03:45
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_86 | TO: P3_GROUP_4 | MSG: eat - sleep - segfault - repeat | TIMESTAMP: 14.10.19 -=- 15:06:54
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_86 | TO: P3_GROUP_4 | MSG: eat - sleep - segfault - repeat | TIMESTAMP: 14.10.19 -=- 15:07:03
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_20 | TO: P3_GROUP_4 | MSG: hello  | TIMESTAMP: 14.10.19 -=- 16:17:37
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_20 | MSG: Charlie Oscar Mike Delta Zulu | TIMESTAMP: 14.10.19 -=- 16:18:37
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_20 | MSG: Hello. Don't trust GlaDos.... | TIMESTAMP: 14.10.19 -=- 16:36:00
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_20 | MSG: Hello. Don't trust GlaDos.... | TIMESTAMP: 14.10.19 -=- 16:39:22
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_20 | MSG: Hello. Don't trust GlaDos.... | TIMESTAMP: 14.10.19 -=- 16:40:54
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_20 | MSG: Hello. Don't trust GlaDos.... | TIMESTAMP: 14.10.19 -=- 16:41:13
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_20 | MSG: Hello. Don't trust GlaDos.... | TIMESTAMP: 14.10.19 -=- 16:42:22
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_20 | MSG: Hello. Don't trust GlaDos.... | TIMESTAMP: 14.10.19 -=- 16:43:14
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: ORACLE | MSG: Somebody told me to contact you. | TIMESTAMP: 14.10.19 -=- 17:00:04
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: Instructor_1 | MSG: Hello. Ping. Hello. | TIMESTAMP: 14.10.19 -=- 17:03:09
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: ORACLE | MSG: Ping. Hello. Ping. | TIMESTAMP: 14.10.19 -=- 17:04:15
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: ORACLE | MSG: Ping. Hello. Ping. | TIMESTAMP: 14.10.19 -=- 17:04:48
COMMAND: SEND | isBot: FALSE | FROM: ORACLE | TO: P3_GROUP_4 | MSG: 31f23ba6e971170f63781be4d88b3ceb | TIMESTAMP: 14.10.19 -=- 17:04:48
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_140 | MSG: The cake is a lie!! | TIMESTAMP: 14.10.19 -=- 19:03:01
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_109 | MSG: Hello from group 4!! | TIMESTAMP: 14.10.19 -=- 19:06:11
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_109 | MSG: Hello from group 4!! | TIMESTAMP: 14.10.19 -=- 19:06:56
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_73 | TO: P3_GROUP_4 | MSG: Hallo Aegir! | TIMESTAMP: 14.10.19 -=- 19:13:04
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_109 | TO: P3_GROUP_4 | MSG: Hello Aegir... I see we have established an awesome connection! | TIMESTAMP: 14.10.19 -=- 19:13:20
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_42 | TO: P3_GROUP_4 | MSG: "Funny " he intoned funereally  "how just when you think life can’t possibly get any worse it suddenly does." | TIMESTAMP: 14.10.19 -=- 19:14:26
